User_id,Plant Name,Favorite
0,Lidah Mertua,1
1,Lili Paris,1
1,Janda Bolong,1
1,Lidah Mertua,1
1,Gelombang Cinta,1
1,Pucuk Merah,1
2,Sri rezeki,1
2,Lili Paris,1
2,Alocasia,1
2,Janda Bolong,1
2,Lidah Mertua,1
2,Gelombang Cinta,1
2,Suplir,1
3,Sri rezeki,1
3,Lili Paris,1
3,Alocasia,1
3,Janda Bolong,1
3,Gelombang Cinta,1
4,Sri rezeki,1
4,Lili Paris,1
4,Alocasia,1
5,Sri rezeki,1
5,Lili Paris,1
5,Alocasia,1
6,Sri rezeki,1
6,Lili Paris,1
6,Alocasia,1
6,Janda Bolong,1
6,Gelombang Cinta,1
6,Suplir,1
7,Sri rezeki,1
7,Janda Bolong,1
7,Gelombang Cinta,1
8,Alocasia,1
8,Pucuk Merah,1
9,Lidah Mertua,1
10,Sri rezeki,1
10,Lili Paris,1
10,Pucuk Merah,1
11,Lili Paris,1
11,Janda Bolong,1
12,Lidah Mertua,1
12,Gelombang Cinta,1
13,Lili Paris,1
13,Lidah Mertua,1
13,Pucuk Merah,1
14,Sri rezeki,1
14,Janda Bolong,1
14,Lidah Mertua,1
15,Alocasia,1
15,Janda Bolong,1
16,Janda Bolong,1
17,Sri rezeki,1
17,Janda Bolong,1
17,Pucuk Merah,1
18,Sri rezeki,1
18,Lili Paris,1
18,Janda Bolong,1
18,Lidah Mertua,1
18,Gelombang Cinta,1
18,Suplir,1
19,Sri rezeki,1
19,Lili Paris,1
19,Alocasia,1
19,Janda Bolong,1
19,Lidah Mertua,1
19,Gelombang Cinta,1
19,Suplir,1
19,Pucuk Merah,1
20,Sri rezeki,1
20,Lili Paris,1
20,Alocasia,1
20,Lidah Mertua,1
20,Gelombang Cinta,1
20,Pucuk Merah,1
21,Sri rezeki,1
21,Lili Paris,1
21,Lidah Mertua,1
22,Sri rezeki,1
23,Sri rezeki,1
23,Alocasia,1
23,Suplir,1
24,Janda Bolong,1
24,Lidah Mertua,1
24,Pucuk Merah,1
25,Janda Bolong,1
26,Suplir,1
27,Sri rezeki,1
27,Pucuk Merah,1
28,Lili Paris,1
28,Lidah Mertua,1
28,Pucuk Merah,1
29,Sri rezeki,1
29,Alocasia,1
29,Gelombang Cinta,1
29,Pucuk Merah,1
30,Janda Bolong,1
31,Sri rezeki,1
31,Lili Paris,1
31,Pucuk Merah,1
32,Janda Bolong,1
32,Lidah Mertua,1
32,Pucuk Merah,1
33,Janda Bolong,1
34,Janda Bolong,1
35,Alocasia,1
35,Janda Bolong,1
35,Gelombang Cinta,1
36,Sri rezeki,1
36,Janda Bolong,1
37,Sri rezeki,1
37,Janda Bolong,1
37,Pucuk Merah,1
38,Lili Paris,1
38,Alocasia,1
38,Pucuk Merah,1
39,Janda Bolong,1
39,Lidah Mertua,1
40,Sri rezeki,1
41,Sri rezeki,1
41,Janda Bolong,1
41,Lidah Mertua,1
42,Sri rezeki,1
43,Sri rezeki,1
43,Alocasia,1
43,Janda Bolong,1
44,Sri rezeki,1
44,Alocasia,1
44,Janda Bolong,1
45,Lili Paris,1
45,Janda Bolong,1
45,Lidah Mertua,1
45,Pucuk Merah,1
46,Lili Paris,1
47,Sri rezeki,1
47,Lili Paris,1
47,Janda Bolong,1
47,Gelombang Cinta,1
47,Pucuk Merah,1
